high_threshold,medium_threshold,total_txn,alerts,high_alerts,medium_alerts,alert_rate,analyst_reviews,noise_score
5.0,2.0,8,3,0,3,0.375,3,0.75
5.0,3.0,8,3,0,3,0.375,3,0.75
5.0,4.0,8,0,0,0,0.0,0,0.0
6.0,2.0,8,3,0,3,0.375,3,0.75
6.0,3.0,8,3,0,3,0.375,3,0.75
6.0,4.0,8,0,0,0,0.0,0,0.0
6.0,5.0,8,0,0,0,0.0,0,0.0
7.0,2.0,8,3,0,3,0.375,3,0.75
7.0,3.0,8,3,0,3,0.375,3,0.75
7.0,4.0,8,0,0,0,0.0,0,0.0
7.0,5.0,8,0,0,0,0.0,0,0.0
8.0,2.0,8,3,0,3,0.375,3,0.75
8.0,3.0,8,3,0,3,0.375,3,0.75
8.0,4.0,8,0,0,0,0.0,0,0.0
8.0,5.0,8,0,0,0,0.0,0,0.0
9.0,2.0,8,3,0,3,0.375,3,0.75
9.0,3.0,8,3,0,3,0.375,3,0.75
9.0,4.0,8,0,0,0,0.0,0,0.0
9.0,5.0,8,0,0,0,0.0,0,0.0
